count;sample
4256;final_CRUK0016_BS_GLfiltered.vcf
3958;final_CRUK0017_BS_GLfiltered.vcf
19310;final_CRUK0017_SU_T1-R1filtered.vcf
5676;final_CRUK0017_SU_T1-R2filtered.vcf
11595;final_CRUK0017_SU_T1-R3filtered.vcf
11195;final_CRUK0017_SU_T1-R4filtered.vcf
1502;final_CRUK0018_BS_GLfiltered.vcf
5678;final_CRUK0018_SU_T1-R1filtered.vcf
8697;final_CRUK0018_SU_T1-R2filtered.vcf
4810;final_CRUK0018_SU_T1-R3filtered.vcf
4755;final_CRUK0018_SU_T1-R4filtered.vcf
3462;final_CRUK0019_BS_GL.bamfiltered.vcf
6606;final_CRUK0019_SU_T1-R1.bamfiltered.vcf
12870;final_CRUK0019_SU_T1-R2.bamfiltered.vcf
6035;final_CRUK0035_BS_GLfiltered.vcf
9780;final_CRUK0035_SU_T1-R2filtered.vcf
2287;final_CRUK0035_SU_T1-R3filtered.vcf
2595;final_CRUK0036_BS_GLfiltered.vcf
2927;final_CRUK0036_SU_T1-R1filtered.vcf
7386;final_CRUK0036_SU_T1-R2filtered.vcf
5734;final_CRUK0036_SU_T1-R3filtered.vcf
2988;final_CRUK0036_SU_T1-R4filtered.vcf
3334;final_CRUK0037_BS_GL.bamfiltered.vcf
11012;final_CRUK0037_SU_T1-R1filtered.vcf
8956;final_CRUK0037_SU_T1-R2filtered.vcf
7100;final_CRUK0037_SU_T1-R3.bamfiltered.vcf
8253;final_CRUK0037_SU_T1-R4.bamfiltered.vcf
7947;final_CRUK0037_SU_T1-R5.bamfiltered.vcf
4532;final_CRUK0038_BS_GL.bamfiltered.vcf
3820;final_CRUK0038_SU_T1-R1.bamfiltered.vcf
3409;final_CRUK0038_SU_T1-R2.bamfiltered.vcf
6745;final_CRUK0056_BS_GLfiltered.vcf
7938;final_CRUK0056_SU_T1-R3filtered.vcf
2748;final_CRUK0057_BS_GLfiltered.vcf
4977;final_CRUK0057_SU_T1-R1filtered.vcf
6817;final_CRUK0057_SU_T1-R2filtered.vcf
2732;final_CRUK0058_BS_GLfiltered.vcf
7300;final_CRUK0058_SU_T1-R1filtered.vcf
10072;final_CRUK0058_SU_T1-R2filtered.vcf
1852;final_CRUK0059_SU_T1-R1filtered.vcf
1659;final_CRUK0059_SU_T1-R2filtered.vcf
1840;final_CRUK0065_BS_GLfiltered.vcf
14911;final_CRUK0065_SU_T1-R1filtered.vcf
14107;final_CRUK0065_SU_T1-R2filtered.vcf
8058;final_CRUK0065_SU_T1-R3filtered.vcf
10237;final_CRUK0065_SU_T1-R4filtered.vcf
11085;final_CRUK0065_SU_T1-R5filtered.vcf
12950;final_CRUK0065_SU_T1-R6filtered.vcf
2638;final_CRUK0065_SU_T1-R7filtered.vcf
7956;final_CRUK0066_SU_T1-R1filtered.vcf
6583;final_CRUK0066_SU_T1-R2filtered.vcf
6299;final_CRUK0080_BS_GLfiltered.vcf
2429;final_CRUK0081_BS_GLfiltered.vcf
3007;final_CRUK0081_SU_T1-R1filtered.vcf
3356;final_CRUK0081_SU_T1-R5filtered.vcf
3569;final_CRUK0081_SU_T1-R6filtered.vcf
4061;final_CRUK0082_BS_GL.bamfiltered.vcf
10626;final_CRUK0082_SU_T1-R1filtered.vcf
7665;final_CRUK0082_SU_T1-R2filtered.vcf
3607;final_CRUK0082_SU_T1-R3filtered.vcf
8487;final_CRUK0082_SU_T1-R4filtered.vcf
2706;final_CRUK0082_SU_T1-R5filtered.vcf
4707;final_CRUK0099_BS_GLfiltered.vcf
2268;final_CRUK0099_SU_T1-R4filtered.vcf
3491;final_CRUK0099_SU_T1-R5filtered.vcf
3072;final_CRUK0099_SU_T1-R6filtered.vcf
2924;final_CRUK0099_SU_T1-R7filtered.vcf
6036;final_CRUK0100_BS_GLfiltered.vcf
14892;final_CRUK0100_SU_T1-R1filtered.vcf
14773;final_CRUK0100_SU_T1-R2filtered.vcf
9042;final_CRUK0100_SU_T1-R3filtered.vcf
