sample,group,silhouette_width,enrich_sig
final_CRUK0018_BS_GLfiltered,1,0.115,Sig4
final_CRUK0018_SU_T1-R1filtered,1,0.366,Sig4
final_CRUK0018_SU_T1-R3filtered,1,0.434,Sig4
final_CRUK0018_SU_T1-R4filtered,1,0.466,Sig4
final_CRUK0057_BS_GLfiltered,1,0.327,Sig4
final_CRUK0057_SU_T1-R1filtered,1,0.346,Sig4
final_CRUK0057_SU_T1-R2filtered,1,0.372,Sig4
final_CRUK0017_SU_T1-R1filtered,2,0.0473,Sig1
final_CRUK0017_SU_T1-R4filtered,2,0.14,Sig1
final_CRUK0018_SU_T1-R2filtered,2,0.277,Sig1
final_CRUK0058_SU_T1-R1filtered,2,0.204,Sig1
final_CRUK0058_SU_T1-R2filtered,2,0.309,Sig1
final_CRUK0059_SU_T1-R1filtered,2,0.199,Sig1
final_CRUK0059_SU_T1-R2filtered,2,0.307,Sig1
final_CRUK0066_SU_T1-R2filtered,2,0.032,Sig1
final_CRUK0081_BS_GLfiltered,2,0.149,Sig1
final_CRUK0081_SU_T1-R5filtered,2,0.0552,Sig1
final_CRUK0081_SU_T1-R6filtered,2,0.147,Sig1
final_CRUK0082_SU_T1-R1filtered,2,0.431,Sig1
final_CRUK0082_SU_T1-R2filtered,2,0.224,Sig1
final_CRUK0082_SU_T1-R3filtered,2,0.174,Sig1
final_CRUK0100_SU_T1-R1filtered,2,0.337,Sig1
final_CRUK0100_SU_T1-R2filtered,2,0.283,Sig1
final_CRUK0100_SU_T1-R3filtered,2,0.411,Sig1
final_CRUK0017_SU_T1-R2filtered,3,-0.00946,Sig1
final_CRUK0019_BS_GL.bamfiltered,3,0.0128,Sig1
final_CRUK0035_SU_T1-R3filtered,3,0.286,Sig1
final_CRUK0038_SU_T1-R1.bamfiltered,3,0.0674,Sig1
final_CRUK0038_SU_T1-R2.bamfiltered,3,0.208,Sig1
final_CRUK0058_BS_GLfiltered,3,0.247,Sig1
final_CRUK0065_BS_GLfiltered,3,-0.0186,Sig1
final_CRUK0065_SU_T1-R7filtered,3,0.0256,Sig1
final_CRUK0081_SU_T1-R1filtered,3,0.146,Sig1
final_CRUK0082_BS_GL.bamfiltered,3,0.332,Sig1
final_CRUK0082_SU_T1-R5filtered,3,0.0301,Sig1
final_CRUK0099_SU_T1-R4filtered,3,0.38,Sig1
final_CRUK0099_SU_T1-R6filtered,3,0.266,Sig1
final_CRUK0099_SU_T1-R7filtered,3,0.308,Sig1
final_CRUK0016_BS_GLfiltered,4,0.326,Sig2
final_CRUK0017_BS_GLfiltered,4,0.426,Sig2
final_CRUK0017_SU_T1-R3filtered,4,0.261,Sig2
final_CRUK0019_SU_T1-R1.bamfiltered,4,0.0549,Sig2
final_CRUK0035_BS_GLfiltered,4,0.269,Sig2
final_CRUK0035_SU_T1-R2filtered,4,0.433,Sig2
final_CRUK0037_BS_GL.bamfiltered,4,0.52,Sig2
final_CRUK0037_SU_T1-R1filtered,4,0.118,Sig2
final_CRUK0037_SU_T1-R2filtered,4,0.477,Sig2
final_CRUK0037_SU_T1-R3.bamfiltered,4,0.37,Sig2
final_CRUK0037_SU_T1-R4.bamfiltered,4,0.398,Sig2
final_CRUK0037_SU_T1-R5.bamfiltered,4,0.493,Sig2
final_CRUK0038_BS_GL.bamfiltered,4,0.537,Sig2
final_CRUK0056_BS_GLfiltered,4,0.567,Sig2
final_CRUK0056_SU_T1-R3filtered,4,0.519,Sig2
final_CRUK0066_SU_T1-R1filtered,4,0.127,Sig2
final_CRUK0080_BS_GLfiltered,4,0.332,Sig2
final_CRUK0099_BS_GLfiltered,4,0.52,Sig2
final_CRUK0099_SU_T1-R5filtered,4,0.518,Sig2
final_CRUK0100_BS_GLfiltered,4,0.564,Sig2
final_CRUK0019_SU_T1-R2.bamfiltered,5,0.264,Sig1
final_CRUK0065_SU_T1-R1filtered,5,0.605,Sig1
final_CRUK0065_SU_T1-R2filtered,5,0.605,Sig1
final_CRUK0065_SU_T1-R3filtered,5,0.334,Sig1
final_CRUK0065_SU_T1-R4filtered,5,0.24,Sig1
final_CRUK0065_SU_T1-R5filtered,5,0.578,Sig1
final_CRUK0065_SU_T1-R6filtered,5,0.587,Sig1
final_CRUK0082_SU_T1-R4filtered,5,0.182,Sig1
